Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
12/28/2019 15:09:27,9.230768,9.230768,15.3846149,6.153846,9.999996,39,36,39,39,39,798.159668,798.159668,798.159668,798.159668,4.359611,0.7163697,0.00517625548,1.02417636,99.76996,55.17499,4.364483,3.54577255,37,47.1786346
12/28/2019 15:14:27,6.153846,3.076923,12.3076916,1.53846145,5.769229,44,41,45,43,43,798.159851,798.159851,798.159851,798.159851,4.01499,0.5050959,0.00525198271,1.01882434,99.76998,55.18821,4.365528,3.54472733,37,47.1786
12/28/2019 15:19:27,12.3076916,9.230768,4.615384,6.153846,8.076924,38,36,38,37,39,1297.01013,1297.01013,1297.01013,1297.01013,4.25499439,0.682285666,0.005619747,1.030287,99.7700043,55.32415,4.37628174,3.53397369,37,47.1786461
12/28/2019 15:24:27,12.3076916,3.076923,10.76923,6.153846,8.076924,40,38,40,41,41,798.1598,798.1598,798.1598,798.1598,3.96176171,0.549285,0.00517625548,1.04548323,99.76997,55.3486,4.378216,3.53203964,37,47.1771049
12/28/2019 15:29:28,13.8461533,6.153846,9.230768,12.3076916,10.3846188,40,38,40,39,40,997.6997,997.6997,997.6997,997.6997,4.54480839,0.746733248,0.006030797,1.04718757,99.7699661,55.4097481,4.383053,3.52720261,37,47.17764
12/28/2019 15:34:28,9.230768,12.3076916,7.69230747,12.3076916,10.384613,41,38,42,41,42,798.1602,798.1602,798.1602,798.1602,4.68475962,0.766907156,0.00558615057,1.03498292,99.77003,55.6033249,4.398365,3.51189041,37,47.178318
12/28/2019 15:39:28,30.76923,32.30769,13.8461533,18.4615364,23.8461552,43,41,41,45,45,3491.94824,3292.4082,3292.4082,3491.94824,10.77087,4.66141367,0.00708352635,1.4069016,99.76994,55.5292549,4.39250565,3.51774979,37,47.177906
12/28/2019 15:44:28,55.384613,24.6153831,15.3846149,15.3846149,27.6923065,43,43,43,43,47,3292.41016,3292.41016,3292.41016,3292.41016,15.3217773,8.156978,0.00624455325,1.38676214,99.7700043,55.60405,4.39842224,3.51183319,37,47.1784935
12/28/2019 15:49:28,4.615384,3.076923,1.53846145,9.230768,4.6153903,42,40,42,41,42,798.16,798.16,798.16,798.16,4.12102461,0.5281772,0.00247262674,1.02433085,99.77,55.7242737,4.40793228,3.50232315,37,47.1787
12/28/2019 15:54:28,16.9230766,13.8461533,16.9230766,63.0769272,27.6923065,43,46,43,45,46,3491.9502,3292.41016,3491.9502,3292.41016,17.5222874,10.1499748,0.009509865,1.09429657,99.7700043,55.9124451,4.422817,3.4874382,37,47.1788635
12/28/2019 15:59:28,7.69230747,6.153846,12.3076916,9.230768,8.846151,39,39,39,39,39,798.1596,798.1596,798.1596,798.1596,4.274203,0.614650249,0.006199469,1.047951,99.76995,55.8048058,4.414303,3.49595261,37,47.1795654
12/28/2019 16:04:29,47.6923065,13.8461533,6.153846,19.9999981,21.9230766,44,39,41,42,44,3292.41113,3591.72119,3491.95117,3491.95117,12.7103243,6.36332941,0.00682118675,1.37099862,99.7700348,56.7630348,4.490101,3.42015457,37,47.179863
12/28/2019 16:09:29,7.69230747,9.230768,9.230768,9.230768,8.846151,39,37,39,38,39,798.2005,798.2005,798.2005,798.2005,4.4083643,0.7020447,0.00668098126,1.02622283,99.77506,55.98806,4.42879868,3.48145676,37,47.18027
12/28/2019 16:14:29,10.76923,3.076923,21.53846,7.69230747,10.76923,39,38,39,40,40,997.6997,997.6997,997.6997,997.6997,4.357926,0.657444656,0.005597579,1.03157961,99.76997,56.1070328,4.43820953,3.472046,37,47.17973
12/28/2019 16:19:29,16.9230766,6.153846,9.230768,4.615384,9.23076248,38,37,40,37,40,798.16,798.16,798.16,798.16,4.268236,0.6417974,0.005307101,1.03404045,99.77,56.2139931,4.44667053,3.463585,37,47.18007
12/28/2019 16:24:29,9.230768,6.153846,13.8461533,4.615384,8.4615345,39,38,38,38,40,1496.54993,1496.54993,1496.54993,1496.54993,4.291398,0.6658765,0.005171156,1.04192781,99.76999,56.2388268,4.448635,3.46162033,37,47.1804161
12/28/2019 16:29:29,6.153846,9.230768,6.153846,10.76923,8.076918,38,37,38,38,39,798.1598,798.1598,798.1598,798.1598,4.36334467,0.697307765,0.00497605931,1.04209471,99.76997,56.24886,4.44942856,3.46082687,37,47.18072
12/28/2019 16:34:29,10.76923,1.53846145,6.153846,1.53846145,5.000001,38,38,39,38,40,798.160034,798.160034,798.160034,798.160034,4.20325565,0.630620539,0.00576677173,1.03057015,99.7700043,56.414608,4.46253967,3.44771576,37,47.1812
12/28/2019 16:39:30,12.3076916,9.230768,1.53846145,6.153846,7.30769062,38,36,39,38,39,798.159363,798.159363,798.159363,798.159363,4.36722851,0.6813496,0.00548260752,1.03789985,99.76992,56.34102,4.45671844,3.453537,37,47.1813431
12/28/2019 16:44:30,16.9230766,4.615384,4.615384,4.615384,7.69230747,40,39,39,37,39,997.6998,997.6998,997.6998,997.6998,4.40747452,0.6890011,0.005663353,1.04326189,99.76998,56.4510155,4.46542,3.44483566,37,47.1809044
12/28/2019 16:49:30,4.615384,9.230768,3.076923,4.615384,5.384618,39,37,38,38,39,1496.54956,798.1598,798.1598,798.1598,4.19014,0.6269726,0.005652194,1.02100265,99.76997,56.4734421,4.4671936,3.44306183,37,47.1811333
12/28/2019 16:54:30,10.76923,0,13.8461533,7.69230747,8.076924,38,38,39,37,40,798.160461,798.160461,1197.24072,1197.24072,3.95419049,0.595945656,0.004088821,1.03898144,99.77006,56.4916267,4.46863174,3.44162369,37,47.1815567
12/28/2019 16:59:30,18.4615364,9.230768,10.76923,12.3076916,12.6923084,39,36,39,37,39,997.699951,997.699951,997.699951,997.699951,4.302339,0.689434,0.00532288058,1.03481638,99.77,56.5534973,4.473526,3.43672943,37,47.1818
12/28/2019 17:04:30,7.69230747,6.153846,6.153846,7.69230747,6.92307949,39,37,39,39,39,1297.01013,1297.01013,1297.01013,1297.01013,4.34491062,0.7132849,0.00525718275,1.03342927,99.7700043,57.49711,4.548168,3.36208725,37,47.1821938
12/28/2019 17:09:30,23.0769215,26.1538448,27.6923065,78.46154,38.8461533,42,43,45,45,45,3491.94873,3491.94873,3491.94873,3491.94873,23.0680428,14.7653294,0.0125193158,1.42479444,99.76996,56.90004,4.50093842,3.409317,37,47.18256
12/28/2019 17:14:31,7.69230747,12.3076916,6.153846,12.3076916,9.615385,39,38,38,38,39,1197.24072,1197.24072,1197.24072,1197.24072,4.19074059,0.6290724,0.00482463744,1.03367853,99.77006,56.7916756,4.492367,3.41788864,37,47.1827
12/28/2019 17:19:31,32.8125,18.75,10.9375,23.4375,21.484375,41,40,41,42,42,3292.41016,3491.9502,3292.41016,3292.41016,14.4911709,7.723974,0.007127786,1.30915785,99.7700043,57.0023232,4.50902939,3.401226,37,47.18143
